sample	species_sylph	species_miniphy	filename_in_tar_xz	tar_xz	tar_xz_url	tar_xz_md5	tar_xz_size_MB
SAMEA3539482	Acetatifactor sp900066565	acetatifactor_sp900066565	atb.assembly.r0.2.batch.92/SAMEA3539482.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMEA5925529	Acetatifactor sp910576125	acetatifactor_sp910576125	atb.assembly.r0.2.batch.92/SAMEA5925529.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMEA7532537	Acetatifactor sp910576125	acetatifactor_sp910576125	atb.assembly.r0.2.batch.92/SAMEA7532537.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMN05216249	Acetitomaculum ruminis	acetitomaculum_ruminis	atb.assembly.r0.2.batch.92/SAMN05216249.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMN00262687	Acetivibrio clariflavus	acetivibrio_clariflavus	atb.assembly.r0.2.batch.92/SAMN00262687.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMN00262676	Acetivibrio clariflavus	acetivibrio_clariflavus	atb.assembly.r0.2.batch.92/SAMN00262676.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMN02261428	Acetivibrio clariflavus	acetivibrio_clariflavus	atb.assembly.r0.2.batch.92/SAMN02261428.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMN00262678	Acetivibrio clariflavus	acetivibrio_clariflavus	atb.assembly.r0.2.batch.92/SAMN00262678.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMN05518767	Acetivibrio clariflavus	acetivibrio_clariflavus	atb.assembly.r0.2.batch.92/SAMN05518767.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMN02745120	Acetoanaerobium noterae	acetoanaerobium_noterae	atb.assembly.r0.2.batch.92/SAMN02745120.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
